"2021 super output area - middle layer","mnemonic","Total: All usual residents aged 16 years and over","Economically active (excluding full-time students)","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student:In employment","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"Leeds 078","E02002407",100.0,58.8,53.0,5.7,2.1,1.5,0.6,39.1,14.4,5.0,6.9,9.2,3.7
"Leeds 079","E02002408",100.0,62.1,59.8,2.3,1.4,1.1,0.3,36.5,23.2,3.9,3.1,3.5,2.8
"Leeds 080","E02002409",100.0,60.1,56.5,3.5,1.8,1.0,0.7,38.2,21.0,3.9,4.3,5.4,3.5
"Leeds 081","E02002410",100.0,62.3,57.2,5.1,1.7,1.1,0.6,36.0,19.8,3.9,4.3,5.0,3.0
"Leeds 082","E02002411",100.0,65.2,60.1,5.1,3.6,2.7,0.9,31.2,7.9,7.1,6.1,5.2,4.9
"Leeds 083","E02002412",100.0,66.5,63.6,2.9,1.6,1.2,0.4,32.0,19.1,3.4,3.2,3.5,2.9
"Leeds 085","E02002414",100.0,59.1,53.4,5.7,3.5,2.6,0.9,37.5,10.7,7.1,7.2,8.2,4.3
"Leeds 086","E02002415",100.0,54.0,47.6,6.4,4.0,2.9,1.1,42.0,5.0,9.6,12.4,6.2,8.8
"Leeds 087","E02002416",100.0,55.2,53.1,2.1,1.1,0.8,0.4,43.7,30.8,3.3,2.6,4.4,2.6
"Leeds 088","E02002417",100.0,60.7,58.9,1.7,1.4,1.1,0.3,38.0,26.1,3.1,3.0,3.3,2.4
"Leeds 089","E02002418",100.0,61.1,58.6,2.5,1.4,1.0,0.4,37.5,25.0,3.3,2.9,4.1,2.2
"Leeds 090","E02002419",100.0,58.2,54.2,4.0,2.2,1.7,0.5,39.6,16.3,4.7,7.0,7.2,4.5
"Leeds 091","E02002420",100.0,61.3,57.8,3.5,2.6,1.8,0.8,36.2,16.4,5.1,6.9,3.6,4.2
"Leeds 092","E02002421",100.0,55.9,50.1,5.7,2.8,2.2,0.6,41.3,14.0,5.2,7.7,9.4,5.0
"Leeds 093","E02002422",100.0,64.0,61.9,2.1,1.9,1.3,0.5,34.2,25.4,2.8,2.2,2.4,1.4
"Leeds 094","E02002423",100.0,58.0,53.7,4.3,1.7,1.2,0.5,40.3,19.9,4.1,5.7,6.4,4.1
"Leeds 095","E02002424",100.0,62.9,60.4,2.5,1.4,1.2,0.2,35.7,22.2,3.4,2.8,4.2,3.1
"Leeds 096","E02002425",100.0,59.6,57.6,2.0,1.5,1.1,0.3,38.9,27.4,2.8,2.8,3.4,2.4
"Leeds 097","E02002426",100.0,60.0,57.8,2.1,1.5,1.1,0.4,38.5,25.9,3.9,2.7,3.6,2.4
"Leeds 098","E02002427",100.0,57.0,54.6,2.4,1.5,1.0,0.5,41.6,27.5,2.9,3.7,5.3,2.1
"Leeds 099","E02002428",100.0,65.1,61.9,3.2,1.5,1.0,0.4,33.5,17.1,3.8,4.5,4.8,3.2
"Leeds 100","E02002429",100.0,62.8,60.5,2.3,1.7,1.2,0.5,35.5,24.0,2.9,3.1,3.5,2.0
"Leeds 101","E02002430",100.0,58.5,53.4,5.1,2.4,1.6,0.8,39.1,12.6,6.3,8.1,7.7,4.4
